Task_1, 0, 1, 0.001001, 0.002401, 2024-12-11 23:38:41.052376, 2024-12-11 23:38:41.055376
Task_3, 1, 0, 0.000000, 0.003406, 2024-12-11 23:38:41.052541, 2024-12-11 23:38:41.056376
Task_4, 1, 1, 0.000000, 0.004305, 2024-12-11 23:38:41.052541, 2024-12-11 23:38:41.057376
Task_2, 0, 2, 0.000165, 0.010023, 2024-12-11 23:38:41.052541, 2024-12-11 23:38:41.063377
Task_6, 2, 0, 0.000000, 0.009326, 2024-12-11 23:38:41.052541, 2024-12-11 23:38:41.063377
Task_0, 0, 0, 0.000000, 0.015527, 2024-12-11 23:38:41.051375, 2024-12-11 23:38:41.068640
Task_7, 2, 1, 0.000000, 0.015386, 2024-12-11 23:38:41.052541, 2024-12-11 23:38:41.069147
Task_9, 3, 0, 0.000000, 0.027165, 2024-12-11 23:38:41.053375, 2024-12-11 23:38:41.081148
Task_8, 2, 2, 0.000834, 0.029857, 2024-12-11 23:38:41.053375, 2024-12-11 23:38:41.084148
Task_5, 1, 2, 0.000000, 0.035433, 2024-12-11 23:38:41.052541, 2024-12-11 23:38:41.089150
Task_8, 0, 0, 0.000000, 0.002722, 2024-12-12 01:59:11.138981, 2024-12-12 01:59:11.142981
Task_7, 2, 0, 0.000000, 0.003596, 2024-12-12 01:59:11.139981, 2024-12-12 01:59:11.144490
Task_1, 2, 2, 0.000000, 0.004537, 2024-12-12 01:59:11.139981, 2024-12-12 01:59:11.145486
Task_6, 1, 2, 0.000000, 0.005821, 2024-12-12 01:59:11.139981, 2024-12-12 01:59:11.146486
Task_4, 2, 1, 0.000000, 0.011937, 2024-12-12 01:59:11.139981, 2024-12-12 01:59:11.152488
Task_9, 1, 1, 0.001000, 0.011613, 2024-12-12 01:59:11.139981, 2024-12-12 01:59:11.152488
Task_0, 0, 1, 0.000000, 0.015648, 2024-12-12 01:59:11.138981, 2024-12-12 01:59:11.155488
Task_5, 1, 0, 0.000000, 0.015728, 2024-12-12 01:59:11.138981, 2024-12-12 01:59:11.156032
Task_2, 0, 2, 0.000000, 0.039091, 2024-12-12 01:59:11.138981, 2024-12-12 01:59:11.179852
Task_3, 3, 0, 0.000000, 0.039331, 2024-12-12 01:59:11.139981, 2024-12-12 01:59:11.180426
Task_5, 1, 0, 0.000524, 0.010544, 2024-12-12 02:01:14.033449, 2024-12-12 02:01:14.044177
Task_6, 3, 0, 0.000000, 0.010991, 2024-12-12 02:01:14.033962, 2024-12-12 02:01:14.045707
Task_8, 2, 1, 0.000513, 0.011666, 2024-12-12 02:01:14.033962, 2024-12-12 02:01:14.046216
Task_9, 1, 1, 0.000000, 0.016001, 2024-12-12 02:01:14.033449, 2024-12-12 02:01:14.049858
Task_2, 1, 2, 0.000000, 0.016326, 2024-12-12 02:01:14.033449, 2024-12-12 02:01:14.050556
